"Team","Shot_Type","Sub_Type","X","Y","Shot_Outcome"
"Brisbane Bullets","3pt","Pull Up Jump Shot",66.94,53.74,"Miss"
"New Zealand Breakers","2pt","Alley Oop Dunk",7,53.55,"Make"
"New Zealand Breakers","3pt","Jump Shot",31.82,31.48,"Miss"
"Brisbane Bullets","2pt","Layup",93.92,55.85,"Miss"
"Brisbane Bullets","2pt","Layup",93.31,53.93,"Make"
"New Zealand Breakers","3pt","Jump Shot",27.91,24.18,"Miss"
"New Zealand Breakers","3pt","Jump Shot",33.88,50.1,"Miss"
"New Zealand Breakers","2pt","Layup",8.86,50.86,"Make"
"Brisbane Bullets","2pt","Turn Around Jump Shot",91.97,54.32,"Miss"
"New Zealand Breakers","3pt","Pull Up Jump Shot",31.41,38,"Miss"
"New Zealand Breakers","2pt","Dunk",5,50,"Make"
"Brisbane Bullets","2pt","Layup",89.5,53.17,"Make"
"New Zealand Breakers","2pt","Floating Jump Shot",11.33,49.33,"Make"
"New Zealand Breakers","2pt","Driving Layup",6.69,54.7,"Make"
"New Zealand Breakers","2pt","Driving Layup",7.11,53.17,"Make"
"Brisbane Bullets","2pt","Layup",93,52.98,"Make"
"New Zealand Breakers","2pt","Dunk",8.65,46.45,"Miss"
"Brisbane Bullets","3pt","Jump Shot",71.78,15.74,"Miss"
"Brisbane Bullets","2pt","Dunk",94.03,54.51,"Make"
"New Zealand Breakers","2pt","Driving Layup",14.52,58.73,"Miss"
"Brisbane Bullets","2pt","Driving Layup",87.02,51.63,"Make"
"New Zealand Breakers","2pt","Pull Up Jump Shot",22.35,70.25,"Make"
"Brisbane Bullets","2pt","Driving Layup",92.38,55.66,"Make"
"Brisbane Bullets","2pt","Layup",91.97,48.37,"Make"
"New Zealand Breakers","3pt","Pull Up Jump Shot",31.31,71.59,"Miss"
"Brisbane Bullets","3pt","Pull Up Jump Shot",68.9,84.45,"Miss"
"New Zealand Breakers","2pt","Driving Layup",8.14,49.14,"Make"
"Brisbane Bullets","3pt","Jump Shot",95.67,95.97,"Make"
"New Zealand Breakers","2pt","Layup",8.34,44.91,"Make"
"Brisbane Bullets","2pt","Layup",89.08,48.18,"Miss"
"Brisbane Bullets","2pt","Dunk",94.34,56.62,"Make"
"New Zealand Breakers","3pt","Jump Shot",7.52,96.16,"Miss"
"New Zealand Breakers","2pt","Jump Shot",88.88,55.85,"Miss"
"New Zealand Breakers","2pt","Tip In",5,50,"Miss"
"New Zealand Breakers","2pt","Fade Away",8.34,32.44,"Make"
"Brisbane Bullets","3pt","Jump Shot",67.04,36.47,"Miss"
"New Zealand Breakers","2pt","Driving Layup",8.03,48.75,"Make"
"Brisbane Bullets","2pt","Driving Layup",93.61,54.13,"Make"
"New Zealand Breakers","3pt","Pull Up Jump Shot",33.88,50.48,"Miss"
"New Zealand Breakers","2pt","Tip In",5,50,"Make"
"New Zealand Breakers","2pt","Driving Layup",10.2,44.15,"Make"
"New Zealand Breakers","3pt","Pull Up Jump Shot",32.65,38.77,"Miss"
"Brisbane Bullets","3pt","Step Back Jump Shot",65.19,46.64,"Miss"
"New Zealand Breakers","2pt","Dunk",9.68,50.1,"Miss"
"Brisbane Bullets","2pt","Floating Jump Shot",89.8,25.91,"Make"
"Brisbane Bullets","2pt","Fade Away",16.07,57.58,"Miss"
"New Zealand Breakers","2pt","Jump Shot",83.32,42.61,"Miss"
"Brisbane Bullets","3pt","Jump Shot",33.16,29.94,"Miss"
"Brisbane Bullets","2pt","Layup",10.81,43.57,"Make"
"New Zealand Breakers","3pt","Jump Shot",92.58,96.35,"Make"
"New Zealand Breakers","2pt","Dunk",88.57,49.14,"Make"
"Brisbane Bullets","2pt","Jump Shot",7.52,56.81,"Make"
"Brisbane Bullets","3pt","Pull Up Jump Shot",26.16,15.55,"Miss"
"New Zealand Breakers","3pt","Pull Up Jump Shot",70.13,26.3,"Miss"
"Brisbane Bullets","2pt","Driving Layup",7.52,48.37,"Make"
"New Zealand Breakers","3pt","Jump Shot",71.68,81,"Miss"
"Brisbane Bullets","2pt","Pull Up Jump Shot",19.26,48.75,"Make"
"New Zealand Breakers","2pt","Hook Shot",91.14,46.45,"Make"
"New Zealand Breakers","2pt","Euro Step",88.88,50.48,"Make"
"Brisbane Bullets","2pt","Layup",7.11,53.17,"Make"
"Brisbane Bullets","3pt","Jump Shot",21.63,92.51,"Make"
"New Zealand Breakers","3pt","Pull Up Jump Shot",68.07,39.92,"Make"
"New Zealand Breakers","2pt","Layup",92.79,54.32,"Miss"
"Brisbane Bullets","2pt","Euro Step",12.98,39.54,"Make"
"New Zealand Breakers","2pt","Dunk",91.35,49.52,"Make"
"Brisbane Bullets","3pt","Pull Up Jump Shot",35.74,36.08,"Miss"
"Brisbane Bullets","3pt","Pull Up Jump Shot",32.23,34.93,"Miss"
"New Zealand Breakers","2pt","Dunk",92.58,47.41,"Make"
"Brisbane Bullets","2pt","Floating Jump Shot",13.8,54.7,"Miss"
"New Zealand Breakers","3pt","Jump Shot",67.66,34.93,"Miss"
"Brisbane Bullets","2pt","Dunk",5.97,46.45,"Make"
"New Zealand Breakers","3pt","Jump Shot",94.44,2.69,"Miss"
"Brisbane Bullets","3pt","Pull Up Jump Shot",32.44,31.09,"Miss"
"Brisbane Bullets","3pt","Pull Up Jump Shot",33.06,47.98,"Make"
"New Zealand Breakers","2pt","Layup",93.51,49.71,"Make"
"Brisbane Bullets","3pt","Pull Up Jump Shot",30.18,26.68,"Miss"
"New Zealand Breakers","2pt","Driving Layup",91.45,52.98,"Make"
"Brisbane Bullets","3pt","Pull Up Jump Shot",29.04,26.68,"Make"
"New Zealand Breakers","3pt","Jump Shot",73.22,18.81,"Miss"
"New Zealand Breakers","3pt","Jump Shot",77.14,11.13,"Miss"
"New Zealand Breakers","2pt","Pull Up Jump Shot",81.57,20.73,"Miss"
"New Zealand Breakers","2pt","Reverse Layup",93.2,46.45,"Make"
"Brisbane Bullets","3pt","Jump Shot",18.02,93.67,"Make"
"New Zealand Breakers","2pt","Driving Layup",91.25,54.32,"Make"
"Brisbane Bullets","2pt","Layup",14.93,49.52,"Miss"
"New Zealand Breakers","2pt","Layup",89.08,52.59,"Make"
"New Zealand Breakers","2pt","Layup",88.67,51.06,"Miss"
"New Zealand Breakers","2pt","Layup",91.04,45.68,"Make"
"Brisbane Bullets","3pt","Jump Shot",28.32,20.15,"Miss"
"New Zealand Breakers","3pt","Pull Up Jump Shot",70.75,22.46,"Miss"
"Brisbane Bullets","2pt","Turn Around Jump Shot",9.47,46.64,"Make"
"New Zealand Breakers","2pt","Floating Jump Shot",80.43,38,"Miss"
"New Zealand Breakers","2pt","Floating Jump Shot",91.66,60.27,"Make"
"Brisbane Bullets","2pt","Jump Shot",14.52,49.33,"Miss"
"Brisbane Bullets","2pt","Tip In",5,50,"Miss"
"New Zealand Breakers","3pt","Jump Shot",66.43,48.18,"Make"
"Brisbane Bullets","2pt","Layup",9.99,54.89,"Miss"
"Brisbane Bullets","2pt","Layup",10.2,45.68,"Make"
"Brisbane Bullets","2pt","Dunk",7.21,53.17,"Make"
"Brisbane Bullets","3pt","Jump Shot",7.21,95.97,"Make"
"New Zealand Breakers","3pt","Jump Shot",93.82,3.07,"Miss"
"New Zealand Breakers","2pt","Floating Jump Shot",81.57,31.09,"Make"
"Brisbane Bullets","3pt","Jump Shot",31,23.03,"Miss"
"New Zealand Breakers","3pt","Pull Up Jump Shot",70.13,25.53,"Miss"
"New Zealand Breakers","2pt","Reverse Layup",92.07,49.14,"Make"
"Brisbane Bullets","2pt","Jump Shot",22.04,57.97,"Miss"
"Brisbane Bullets","2pt","Layup",9.37,55.28,"Make"
"New Zealand Breakers","3pt","Jump Shot",67.46,59.5,"Make"
"Brisbane Bullets","2pt","Pull Up Jump Shot",22.97,24.18,"Miss"
"Brisbane Bullets","3pt","Jump Shot",28.53,78.89,"Make"
"New Zealand Breakers","3pt","Jump Shot",69.1,24.18,"Miss"
"New Zealand Breakers","2pt","Tip In",95,50,"Make"
"Brisbane Bullets","2pt","Floating Jump Shot",15.86,58.35,"Miss"
"New Zealand Breakers","3pt","Jump Shot",75.08,83.88,"Miss"
"New Zealand Breakers","2pt","Driving Layup",92.07,48.94,"Miss"
"New Zealand Breakers","2pt","Pull Up Jump Shot",76.93,51.63,"Make"
"Brisbane Bullets","2pt","Layup",8.75,55.09,"Make"
"New Zealand Breakers","2pt","Driving Layup",93.92,51.25,"Make"
"South East Melbourne Phoenix","2pt","Jump Shot",82.49,22.46,"Miss"
"Cairns Taipans","2pt","Fade Away",12.36,14.4,"Miss"
"South East Melbourne Phoenix","2pt","Floating Jump Shot",78.58,52.59,"Miss"
"Cairns Taipans","2pt","Layup",7.72,47.6,"Make"
"South East Melbourne Phoenix","3pt","Jump Shot",67.35,35.51,"Miss"
"Cairns Taipans","2pt","Driving Layup",7.72,44.53,"Miss"
"South East Melbourne Phoenix","2pt","Driving Layup",94.23,41.27,"Miss"
"South East Melbourne Phoenix","2pt","Jump Shot",79.51,72.17,"Miss"
"Cairns Taipans","2pt","Driving Layup",6.8,46.64,"Miss"
"South East Melbourne Phoenix","2pt","Driving Layup",90.32,51.63,"Miss"
"South East Melbourne Phoenix","2pt","Jump Shot",74.87,63.72,"Make"
"Cairns Taipans","2pt","Turn Around Jump Shot",8.34,60.27,"Miss"
"South East Melbourne Phoenix","2pt","Layup",91.45,45.49,"Miss"
"Cairns Taipans","2pt","Fade Away",13.7,63.34,"Make"
"South East Melbourne Phoenix","3pt","Jump Shot",73.43,15.74,"Miss"
"South East Melbourne Phoenix","2pt","Layup",92.79,47.79,"Make"
"Cairns Taipans","3pt","Jump Shot",18.54,6.53,"Make"
"South East Melbourne Phoenix","2pt","Layup",92.38,52.59,"Make"
"Cairns Taipans","2pt","Driving Layup",8.75,45.68,"Make"
"Cairns Taipans","3pt","Jump Shot",30.38,22.84,"Miss"
"South East Melbourne Phoenix","2pt","Layup",92.79,54.13,"Make"
"Cairns Taipans","2pt","Floating Jump Shot",12.36,44.15,"Miss"
"Cairns Taipans","3pt","Jump Shot",29.66,18.04,"Make"
"South East Melbourne Phoenix","3pt","Jump Shot",76.83,89.64,"Miss"
"South East Melbourne Phoenix","3pt","Jump Shot",71.47,16.7,"Miss"
"South East Melbourne Phoenix","2pt","Jump Shot",91.45,53.36,"Miss"
"South East Melbourne Phoenix","2pt","Tip In",95,50,"Make"
"Cairns Taipans","3pt","Jump Shot",29.45,22.84,"Miss"
"South East Melbourne Phoenix","2pt","Driving Layup",91.76,62.76,"Make"
"Cairns Taipans","3pt","Jump Shot",34.29,41.65,"Make"
"South East Melbourne Phoenix","2pt","Layup",90.94,47.6,"Miss"
"South East Melbourne Phoenix","2pt","Dunk",91.97,53.55,"Make"
"Cairns Taipans","3pt","Jump Shot",6.08,96.74,"Miss"
"South East Melbourne Phoenix","2pt","Driving Layup",89.8,47.98,"Miss"
"Cairns Taipans","3pt","Step Back Jump Shot",7,96.93,"Miss"
"South East Melbourne Phoenix","2pt","Alley Oop",92.69,55.09,"Make"
"Cairns Taipans","2pt","Layup",9.17,48.94,"Miss"
"South East Melbourne Phoenix","2pt","Driving Layup",92.38,54.89,"Make"
"South East Melbourne Phoenix","2pt","Layup",91.14,52.4,"Miss"
"Cairns Taipans","2pt","Hook Shot",7.42,46.45,"Make"
"South East Melbourne Phoenix","2pt","Jump Shot",77.24,72.17,"Miss"
"Cairns Taipans","3pt","Jump Shot",28.53,17.85,"Miss"
"South East Melbourne Phoenix","3pt","Jump Shot",69.21,70.63,"Make"
"Cairns Taipans","3pt","Jump Shot",32.54,71.02,"Miss"
"South East Melbourne Phoenix","3pt","Jump Shot",71.68,20.15,"Miss"
"Cairns Taipans","3pt","Jump Shot",30.9,23.22,"Make"
"South East Melbourne Phoenix","2pt","Driving Layup",91.97,54.51,"Miss"
"South East Melbourne Phoenix","3pt","Jump Shot",77.14,87.91,"Make"
"South East Melbourne Phoenix","3pt","Jump Shot",72.19,18.43,"Make"
"Cairns Taipans","2pt","Layup",8.55,47.02,"Make"
"South East Melbourne Phoenix","2pt","Jump Shot",77.24,64.11,"Make"
"Cairns Taipans","3pt","Jump Shot",28.63,86.56,"Make"
"South East Melbourne Phoenix","2pt","Pull Up Jump Shot",74.87,33.21,"Miss"
"South East Melbourne Phoenix","2pt","Tip In",95,50,"Make"
"South East Melbourne Phoenix","2pt","Layup",93.72,43.57,"Make"
"South East Melbourne Phoenix","2pt","Jump Shot",87.85,81.57,"Make"
"Cairns Taipans","2pt","Hook Shot",9.17,52.21,"Make"
"South East Melbourne Phoenix","3pt","Jump Shot",66.53,51.82,"Miss"
"Cairns Taipans","2pt","Jump Shot",10.4,60.84,"Make"
"South East Melbourne Phoenix","3pt","Jump Shot",74.46,16.51,"Miss"
"South East Melbourne Phoenix","2pt","Tip In",95,50,"Make"
"Cairns Taipans","2pt","Driving Layup",8.55,55.09,"Miss"
"South East Melbourne Phoenix","3pt","Jump Shot",83.83,4.99,"Make"
"South East Melbourne Phoenix","2pt","Layup",92.69,46.07,"Make"
"Cairns Taipans","3pt","Jump Shot",24.61,88.68,"Miss"
"Cairns Taipans","2pt","Jump Shot",8.14,47.02,"Miss"
"South East Melbourne Phoenix","2pt","Layup",90.73,43.95,"Miss"
"South East Melbourne Phoenix","3pt","Jump Shot",65.91,53.36,"Miss"
"South East Melbourne Phoenix","2pt","Tip In",95,50,"Miss"
"Cairns Taipans","3pt","Jump Shot",31,14.4,"Make"
"South East Melbourne Phoenix","3pt","Jump Shot",66.12,25.72,"Miss"
"South East Melbourne Phoenix","2pt","Tip In",95,50,"Make"
"Cairns Taipans","2pt","Jump Shot",12.46,47.22,"Miss"
